group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
250_with_failures,250,30,3,600,4,54,0.989916,0.987603,0.822728,0.760504,0.989269,0.987395,54,0,0.166541
250_with_failures,250,31,1,300,4,75,0.997013,1.0,0.819379,0.695122,0.995966,1.0,75,0,0.176587
250_with_failures,250,31,2,450,4,82,0.995965,1.0,0.804557,0.661157,0.995718,1.0,82,0,0.191161
250_with_failures,250,31,3,600,3,65,0.995713,1.0,0.83869,0.728033,0.994389,1.0,64,0,0.155699
250_with_failures,250,32,1,300,4,81,0.990735,0.984,0.801692,0.654472,0.990795,0.98374,81,0,0.189103
250_with_failures,250,32,2,450,3,102,0.990803,0.98374,0.787349,0.563786,0.991429,0.983539,102,0,0.20408
250_with_failures,250,32,3,600,3,64,0.990654,0.983539,0.827858,0.716667,0.990289,0.983333,64,0,0.162431
250_with_failures,250,33,1,300,4,45,0.991512,0.988,0.840372,0.804878,0.994199,1.0,45,0,0.153827
250_with_failures,250,33,2,450,4,101,0.994202,1.0,0.768318,0.582645,0.992264,1.0,101,0,0.223946
250_with_failures,250,33,3,600,4,57,0.993099,1.0,0.813919,0.760504,0.989463,1.0,56,0,0.175544
250_with_failures,250,34,1,300,4,71,0.994807,0.996,0.80331,0.707317,0.993754,0.995935,71,0,0.190444
250_with_failures,250,34,2,450,3,92,0.993748,0.995935,0.797404,0.617284,0.99345,0.995885,92,0,0.196046
250_with_failures,250,34,3,600,3,31,0.99379,0.995885,0.866725,0.866667,0.992615,0.995833,30,0,0.12589
250_with_failures,250,35,1,300,4,60,0.989589,0.984,0.842722,0.739837,0.989346,0.98374,60,0,0.146624
250_with_failures,250,35,2,450,3,114,0.989343,0.98374,0.789083,0.514403,0.988905,0.983539,114,0,0.199822
250_with_failures,250,35,3,600,3,37,0.988901,0.983539,0.882176,0.829167,0.989711,0.9875,37,0,0.107535
300_with_failures,300,1,1,310,4,93,0.985486,0.963333,0.808401,0.648649,0.986046,0.962838,0,93,0.17764499999999994
300_with_failures,300,1,2,460,3,59,0.986046,0.962838,0.850749,0.761092,0.985033,0.962457,3,53,0.13428400000000007
300_with_failures,300,1,3,610,4,100,0.985032,0.962457,0.76918,0.615917,0.983629,0.961938,5,91,0.214449
300_with_failures,300,2,1,310,4,108,0.995573,0.996667,0.817719,0.631757,0.994927,0.996622,108,0,0.17720800000000003
300_with_failures,300,2,2,460,3,92,0.994946,0.996622,0.844496,0.682594,0.99335,0.996587,92,0,0.14885399999999993
300_with_failures,300,2,3,610,3,88,0.993358,0.996587,0.844684,0.693103,0.99254,0.996552,88,0,0.147856
300_with_failures,300,3,1,310,4,71,0.982303,0.95,0.843802,0.709459,0.981764,0.949324,71,0,0.13796199999999992
300_with_failures,300,3,2,460,3,80,0.98178,0.949324,0.843318,0.675768,0.980142,0.948805,80,0,0.13682399999999995
300_with_failures,300,3,3,610,3,62,0.980148,0.948805,0.854853,0.734483,0.980127,0.955172,62,0,0.125274
300_with_failures,300,4,1,310,6,86,0.992526,0.986667,0.827341,0.693878,0.990533,0.986395,66,20,0.163192
300_with_failures,300,4,2,460,5,35,0.990949,0.986395,0.88466,0.865052,0.98985,0.986159,31,1,0.10519
300_with_failures,300,4,3,610,5,59,0.989851,0.986159,0.854851,0.778169,0.98919,0.985915,57,2,0.134339
300_with_failures,300,5,1,310,4,141,0.988185,0.976667,0.778717,0.5,0.989562,0.986486,141,0,0.21084500000000006
300_with_failures,300,5,2,460,4,107,0.990331,0.986486,0.812155,0.619863,0.989838,0.986301,107,0,0.17768300000000004
300_with_failures,300,5,3,610,3,153,0.989858,0.986301,0.778372,0.456747,0.989801,0.986159,153,0,0.2114290000000001
300_with_failures,300,6,1,310,4,54,0.995471,0.996667,0.896235,0.814189,0.995451,1.0,54,0,0.09921599999999997
300_with_failures,300,6,2,460,4,80,0.99545,1.0,0.868012,0.726027,0.993763,1.0,80,0,0.12575099999999995
300_with_failures,300,6,3,610,3,83,0.992931,1.0,0.873984,0.712803,0.992938,1.0,83,0,0.118954
